Date,Price,Open,High,Low,Change %
2-Jul-19,1.1285,1.1286,1.1321,1.1275,0.00%
1-Jul-19,1.1285,1.1375,1.1375,1.128,-0.75%
28-Jun-19,1.137,1.1371,1.1395,1.1351,0.00%
27-Jun-19,1.137,1.1369,1.1383,1.1348,0.01%
26-Jun-19,1.1369,1.1365,1.1392,1.1347,0.02%
25-Jun-19,1.1367,1.14,1.1414,1.1344,-0.27%
24-Jun-19,1.1398,1.1361,1.1405,1.1361,0.26%
21-Jun-19,1.1368,1.1292,1.1379,1.1283,0.67%
20-Jun-19,1.1292,1.1225,1.1318,1.1225,0.59%
19-Jun-19,1.1226,1.1193,1.1254,1.1187,0.29%
18-Jun-19,1.1193,1.1219,1.1244,1.1181,-0.22%
17-Jun-19,1.1218,1.1215,1.1247,1.1203,0.08%
14-Jun-19,1.1209,1.1282,1.1291,1.1202,-0.60%
13-Jun-19,1.1277,1.1287,1.1305,1.1268,-0.11%
12-Jun-19,1.1289,1.1326,1.1345,1.1282,-0.38%
11-Jun-19,1.1332,1.1313,1.134,1.1302,0.15%
10-Jun-19,1.1315,1.1324,1.1333,1.1291,-0.16%
7-Jun-19,1.1333,1.1276,1.1349,1.1251,0.51%
6-Jun-19,1.1276,1.1229,1.131,1.1214,0.49%
5-Jun-19,1.1221,1.1251,1.1308,1.1219,-0.28%
4-Jun-19,1.1252,1.1241,1.1278,1.1226,0.10%
3-Jun-19,1.1241,1.1168,1.1263,1.1155,0.64%
31-May-19,1.1169,1.1134,1.1181,1.1125,0.34%
30-May-19,1.1131,1.113,1.1144,1.1115,0.00%
29-May-19,1.1131,1.1162,1.1175,1.1124,-0.26%
28-May-19,1.116,1.1198,1.1202,1.1158,-0.35%
27-May-19,1.1199,1.1197,1.1218,1.1186,-0.04%
24-May-19,1.1204,1.1183,1.1215,1.1175,0.21%
23-May-19,1.118,1.115,1.1187,1.1106,0.24%
22-May-19,1.1153,1.1166,1.118,1.1145,-0.06%
21-May-19,1.116,1.1171,1.1189,1.1142,-0.10%
20-May-19,1.1171,1.1158,1.1177,1.1148,0.12%
17-May-19,1.1158,1.1176,1.1186,1.1155,-0.14%
16-May-19,1.1174,1.1202,1.1227,1.1166,-0.25%
15-May-19,1.1202,1.1205,1.1226,1.1177,-0.02%
14-May-19,1.1204,1.1224,1.1247,1.12,-0.18%
