day,open,close
495,2.700000,2.610000
496,2.620000,2.610000
497,2.620000,2.620000
498,2.610000,2.620000
499,2.620000,2.620000
500,2.630000,2.660000
501,2.640000,2.630000
502,2.630000,2.630000
503,2.630000,2.620000
504,2.620000,2.620000
505,2.610000,2.630000
506,2.620000,2.650000
507,2.660000,2.700000
508,2.680000,2.680000
509,2.680000,2.710000
510,2.700000,2.680000
511,2.690000,2.710000
512,2.710000,2.690000
513,2.700000,2.700000
514,2.690000,2.690000
515,2.690000,2.710000
516,2.700000,2.700000
517,2.710000,2.720000
518,2.700000,2.730000
519,2.730000,2.750000
520,2.740000,2.740000
521,2.740000,2.790000
522,2.780000,2.800000
523,2.800000,2.830000
524,2.850000,2.870000
525,2.850000,2.850000
526,2.820000,2.790000
527,2.790000,2.790000
528,2.840000,2.800000
529,2.770000,2.840000
530,2.850000,2.810000
531,2.810000,2.810000
532,2.800000,2.800000
533,2.800000,2.790000
534,2.770000,2.800000
535,2.800000,2.800000
536,2.790000,2.790000
537,2.810000,2.790000
538,2.790000,2.820000
539,2.830000,2.840000
540,2.840000,2.850000
541,2.840000,2.830000
542,2.830000,2.830000
543,2.850000,2.870000
544,2.880000,2.840000
545,2.830000,2.860000
546,2.860000,2.870000
547,2.880000,2.880000
548,2.880000,2.870000
549,2.880000,2.870000
550,2.860000,2.840000
551,2.860000,2.870000
552,2.880000,2.870000
553,2.870000,2.880000
554,2.880000,2.880000
555,2.880000,2.880000
556,2.870000,2.900000
557,2.890000,2.890000
558,2.880000,2.890000
559,2.880000,2.910000
560,2.910000,2.910000
561,2.930000,2.920000
562,2.930000,2.920000
563,2.930000,2.910000
564,2.910000,2.920000
565,2.920000,2.920000
566,2.910000,2.920000
567,2.930000,2.930000
568,2.930000,2.910000
569,2.910000,2.920000
570,2.920000,2.910000
571,2.900000,2.910000
572,2.910000,2.910000
573,2.910000,2.910000
574,2.900000,2.900000
575,2.910000,2.920000
576,2.920000,2.910000
577,2.910000,2.900000
578,2.900000,2.900000
579,2.900000,2.910000
580,2.900000,2.910000
581,2.910000,2.910000
582,2.900000,2.900000
583,2.900000,2.900000
584,2.900000,2.900000
585,2.910000,2.890000
586,2.890000,2.890000
587,2.890000,2.880000
588,2.880000,2.880000
589,2.870000,2.880000
590,2.870000,2.870000
591,2.850000,2.850000
592,2.850000,2.870000
593,2.870000,2.870000
594,2.860000,2.860000
595,2.870000,2.860000
596,2.860000,2.870000
597,2.860000,2.870000
598,2.860000,2.870000
599,2.870000,2.900000
600,2.900000,2.920000
601,2.910000,2.910000
602,2.910000,2.910000
603,2.910000,2.930000
604,2.930000,2.980000
605,2.980000,3.000000
606,3.000000,2.990000
607,2.980000,2.970000
608,2.990000,3.000000
609,3.000000,3.140000
610,3.140000,3.110000
611,3.100000,3.090000
612,3.090000,3.080000
613,3.070000,3.070000
614,3.060000,3.070000
615,3.060000,3.050000
616,3.050000,3.050000
617,3.050000,3.050000
618,3.060000,3.090000
619,3.090000,3.100000
620,3.100000,3.060000
621,3.060000,3.080000
622,3.080000,3.070000
623,3.070000,3.080000
624,3.080000,3.060000
625,3.070000,3.030000
626,3.040000,3.050000
627,3.040000,3.030000
628,3.040000,3.050000
629,3.050000,3.060000
630,3.060000,3.050000
631,3.050000,3.040000
632,3.050000,3.050000
633,3.030000,3.010000
634,3.000000,3.060000
635,3.050000,3.040000
636,3.040000,3.050000
637,3.050000,3.080000
638,3.050000,3.080000
639,3.060000,3.040000
640,3.050000,3.070000
641,3.060000,3.050000
642,3.060000,2.990000
643,3.000000,3.020000
644,3.010000,3.040000
645,3.050000,3.040000
646,3.060000,3.060000
647,3.060000,3.060000
648,3.050000,3.060000
649,3.060000,3.080000
650,3.060000,3.080000
651,3.080000,3.050000
652,3.060000,3.000000
653,2.940000,2.950000
654,2.950000,2.990000
655,2.980000,2.950000
656,2.960000,2.980000
657,2.960000,3.000000
658,3.000000,3.010000
659,3.010000,3.040000
660,3.080000,3.070000
661,3.060000,3.060000
662,3.060000,3.060000
663,3.080000,3.030000
664,3.020000,3.050000
665,3.050000,3.060000
666,3.060000,3.070000
667,3.090000,3.080000
668,3.090000,3.090000
669,3.040000,3.100000
670,3.100000,3.070000
671,3.070000,3.080000
672,3.090000,3.100000
673,3.100000,3.070000
674,3.100000,3.050000
675,3.070000,3.060000
676,3.070000,3.060000
677,3.060000,3.060000
678,3.060000,3.060000
679,3.060000,3.040000
680,3.050000,3.040000
681,3.060000,3.020000
682,3.040000,3.070000
683,3.060000,3.060000
684,3.070000,3.050000
685,3.060000,3.080000
686,3.070000,3.090000
687,3.090000,3.100000
688,3.100000,3.130000
689,3.130000,3.130000
690,3.130000,3.110000
691,3.120000,3.110000
692,3.090000,3.110000
693,3.130000,3.140000
694,3.140000,3.170000
695,3.170000,3.200000
696,3.200000,3.210000
